Borough,CB,Neighbourhood,TreesAmount
Manhattan,110,Central Harlem North-Polo Grounds,2955.0
Queens,413,Glen Oaks-Floral Park-New Hyde Park,5758.0
Manhattan,111,East Harlem North,2063.0
Queens,412,Hollis,1907.0
Queens,405,Middle Village,4232.0
Staten Island,501,West New Brighton-New Brighton-St. George,2790.0
Bronx,201,Mott Haven-Port Morris,1834.0
Staten Island,501,Grymes Hill-Clifton-Fox Hills,1808.0
Queens,405,Maspeth,2538.0
Bronx,209,Soundview-Bruckner,1479.0
Queens,408,Briarwood-Jamaica Hills,2549.0
Manhattan,112,Marble Hill-Inwood,1436.0
Bronx,208,North Riverdale-Fieldston-Riverdale,1563.0
Bronx,204,East Concourse-Concourse Village,1770.0
Bronx,210,Westchester-Unionport,1903.0
Bronx,202,Longwood,1160.0
Queens,409,Ozone Park,2673.0
Queens,407,Ft. Totten-Bay Terrace-Clearview,2338.0
Queens,412,Springfield Gardens North,2427.0
Bronx,202,Hunts Point,2238.0
Brooklyn,305,Starrett City,604.0
Queens,412,Baisley Park,3940.0
Brooklyn,313,West Brighton,379.0
Staten Island,501,Port Richmond,2109.0
Bronx,211,Bronxdale,1130.0
Manhattan,105,Hudson Yards-Chelsea-Flatiron-Union Square,2479.0
Bronx,210,Co-op City,1702.0
Queens,412,South Jamaica,3311.0
