Borough,CB,Neighbourhood,Diameter
Queens,413,Glen Oaks-Floral Park-New Hyde Park,14.787426189649183
Manhattan,111,East Harlem North,8.538536112457587
Queens,412,Hollis,15.017304667016257
Queens,405,Middle Village,15.502126654064272
Staten Island,501,West New Brighton-New Brighton-St. George,12.655555555555555
Bronx,201,Mott Haven-Port Morris,8.249727371864777
Staten Island,501,Grymes Hill-Clifton-Fox Hills,12.801991150442477
Queens,405,Maspeth,13.56067769897557
Bronx,209,Soundview-Bruckner,11.349560513860716
Queens,408,Briarwood-Jamaica Hills,14.950961161239702
Manhattan,112,Marble Hill-Inwood,7.724930362116992
Bronx,208,North Riverdale-Fieldston-Riverdale,13.737683941138835
Bronx,204,East Concourse-Concourse Village,8.38135593220339
Bronx,210,Westchester-Unionport,9.534944823962165
Bronx,202,Longwood,9.054310344827586
Queens,409,Ozone Park,14.418256640478862
Queens,407,Ft. Totten-Bay Terrace-Clearview,14.928999144568007
Queens,412,Springfield Gardens North,14.365059744540584
Bronx,202,Hunts Point,7.961126005361931
Brooklyn,305,Starrett City,13.08774834437086
Queens,412,Baisley Park,14.453807106598985
Brooklyn,313,West Brighton,11.854881266490764
Staten Island,501,Port Richmond,13.637268847795164
Bronx,211,Bronxdale,14.563716814159292
Manhattan,105,Hudson Yards-Chelsea-Flatiron-Union Square,7.926179911254538
Bronx,210,Co-op City,11.169212690951822
Queens,412,South Jamaica,14.163998791905769
